Date,Price,Open,High,Low,Vol.,Change %
13/08/2024,16.1675,15.8675,16.375,14.2225,,0.0189
12/08/2024,15.8675,15.335,16.5575,13.395,,0.0347
09/08/2024,15.335,16.6025,16.6025,13.4325,,-7.63%
08/08/2024,16.6025,16.17,17.23,14.38,,0.0267
07/08/2024,16.17,18.7425,18.7425,13.7225,,-13.73%
06/08/2024,18.7425,20.3675,20.3675,14.8675,,-7.98%
05/08/2024,20.3675,14.32,23.1525,13.9075,,0.4223
02/08/2024,14.32,12.93,14.51,11.6925,,0.1075
01/08/2024,12.93,13.25,13.305,11.9825,,-2.42%
31/07/2024,13.25,12.88,13.3875,11.6225,,0.0287
30/07/2024,12.88,12.945,13.26,11.715,,-0.50%
29/07/2024,12.945,12.2475,13.255,12.0275,,0.057
26/07/2024,12.2475,12.6175,13.135,11.9775,,-2.93%
25/07/2024,12.6175,11.7625,13.2175,11.275,,0.0727
24/07/2024,11.7625,12.7475,14.0375,11.6175,,-7.73%
23/07/2024,12.7475,15.4375,16.065,12.5925,,-17.43%
22/07/2024,15.4375,14.825,15.625,13.115,,0.0413
19/07/2024,14.825,14.51,14.965,12.7375,,0.0217
18/07/2024,14.51,14.2225,14.71,13.75,,0.0202
16/07/2024,14.2225,14.1875,14.5875,13.8025,,0.0025
15/07/2024,14.1875,13.725,14.34,13.5675,,0.0337
12/07/2024,13.725,13.995,14.0525,13.2225,,-1.93%
11/07/2024,13.995,14.4325,14.4325,12.68,,-3.03%
10/07/2024,14.4325,14.28,14.915,13.4075,,0.0107
09/07/2024,14.28,13.6,14.4025,12.79,0.00K,0.05
08/07/2024,13.6,12.695,13.7575,12.695,,0.0713
05/07/2024,12.695,12.855,12.99,12.08,,-1.24%
04/07/2024,12.855,13.205,13.205,12.2575,,-2.65%
03/07/2024,13.205,13.64,13.715,12.87,,-3.19%
02/07/2024,13.64,13.83,14.0125,13.3225,,-1.37%
01/07/2024,13.83,13.8025,14.2275,13.7925,,0.002
28/06/2024,13.8025,14.1525,14.29,13.6875,,-2.47%
27/06/2024,14.1525,14.045,14.61,13.915,,0.0077
